age,sex,year,pop,tva,tipp,cot,irpp,impot,property,chomage,retraite,revsoc,maladie,educ,grth,dsct
17,0,2008,408960.0,743.170829539,678.988746998,1175.67618288,61.2671590977,26.282699196,0.0,0.0,0.0,0.0,7188.77914867,37098.2947503,1.012,0.943396226415
18,0,2008,411082.0,1618.9726831,992.521836486,2061.32815041,175.789243523,91.4083829129,172.124541002,94.097574051,0.0,465.690653932,7032.4988586,35888.5677475,1.012,0.943396226415
19,0,2008,413885.0,2965.40295402,2060.7926638,4445.48364301,348.031404388,208.643910632,391.789521636,325.556460694,0.0,742.722094165,7032.4988586,32259.3867393,1.012,0.943396226415
20,0,2008,408111.0,4870.20847013,3613.93419608,9246.52202223,556.961528045,347.727455015,642.212799154,799.262679437,0.0,1371.47757134,7149.71426681,24682.3332008,1.012,0.943396226415
21,0,2008,407563.0,7105.17098744,5166.12404325,13045.6585666,910.737815327,498.190562121,922.112404319,1254.85141471,0.0,2791.68977074,7266.9192937,19316.6085919,1.012,0.943396226415
22,0,2008,395722.0,9836.8646911,6973.83705665,20826.5667423,1719.16663868,719.603941216,1332.99699222,1603.59605511,0.0,4588.7356266,7384.1243206,15381.7438787,1.012,0.943396226415
23,0,2008,384713.0,11304.0356352,7851.34217418,27618.9669721,2416.28661718,843.737863983,1549.90977316,1674.42509647,0.0,5465.23934971,7501.3397288,10373.7342438,1.012,0.943396226415
24,0,2008,374198.0,14317.7307608,9666.79727459,29274.2590572,3591.74807987,1025.06710527,1877.21534566,1959.931938,0.0,6742.35322875,7618.5447557,6438.86953064,1.012,0.943396226415
25,0,2008,397032.0,16858.0314769,10322.4654494,42279.8982418,4923.43419094,1175.73009849,2103.11087609,2520.18255025,0.0,7692.80724309,7735.74978259,2780.42093368,1.012,0.943396226415
26,0,2008,398052.0,20362.2496734,11519.7281915,53731.4676548,6395.27875248,1514.53705478,2700.10512395,3234.02577797,0.0,9228.71305592,7852.9651908,1235.74263719,1.012,0.943396226415
27,0,2008,400060.0,21073.5125656,11336.4473565,56900.7560347,7594.92992788,1617.47840139,2861.74082574,3568.14617518,0.0,10243.9445864,7970.17021769,372.880840928,1.012,0.943396226415
28,0,2008,378240.0,22064.4957899,11826.7881075,55820.4058249,9312.12132837,1764.25523674,3053.78519643,3088.65454154,0.0,10765.1718106,8087.37524459,372.880840928,1.012,0.943396226415
29,0,2008,372600.0,21943.5775468,12076.3696721,68916.3942549,10547.9318817,1916.77298712,3365.00788213,3015.24151737,0.0,11015.0485039,8204.59065279,0.0,1.012,0.943396226415
30,0,2008,379679.0,24149.0224902,12999.0841194,65423.8133171,12223.3094372,2225.96425955,3819.04911276,3401.33760829,0.0,11817.3216776,8321.79567969,0.0,1.012,0.943396226415
31,0,2008,370769.0,24835.0841218,13581.9183749,71410.0918515,12720.5269652,2428.5511562,4285.89210613,3473.58762874,0.0,15033.9510456,8439.00070658,0.0,1.012,0.943396226415
32,0,2008,382653.0,25893.1819225,13747.3401099,73986.641145,13566.3462128,2546.90232732,4497.04947273,3806.58731327,0.0,17793.2596328,8556.21611479,0.0,1.012,0.943396226415
33,0,2008,406442.0,25675.494937,13521.2505923,70229.017001,13568.3492712,2780.0439077,4986.7975808,2745.95752051,0.0,18430.6652413,8673.42114168,0.0,1.012,0.943396226415
34,0,2008,431668.0,26425.1948736,13515.4804655,79362.6322186,13562.3748712,2996.88314884,5384.2170093,2658.62228448,0.0,19113.3136123,8790.62616858,0.0,1.012,0.943396226415
35,0,2008,443821.0,27003.4237947,13652.651728,77023.6134823,13562.3748712,3107.15520231,5505.61859963,2307.80115379,0.0,18042.2728279,8907.84157679,0.0,1.012,0.943396226415
36,0,2008,442557.0,28161.5344026,13783.1783422,76391.5257903,13896.1483943,3239.18695068,5750.59126668,2536.56187179,0.0,18816.3232437,9025.04660368,0.0,1.012,0.943396226415
37,0,2008,433800.0,28669.6642078,13263.0181243,84713.7612916,14590.138594,3317.6538701,5843.28750386,2850.357193,202.01309624,18287.9607974,9142.25163057,0.0,1.012,0.943396226415
38,0,2008,429857.0,28389.4384845,13040.9496906,84264.3627816,14692.1276531,3417.93161808,6034.56090005,2993.55466974,420.072341827,20631.2677514,9259.45665747,0.0,1.012,0.943396226415
39,0,2008,426119.0,28468.1019312,12988.6155831,78920.752895,14479.1079517,3482.70401472,6188.30756038,3829.18341836,637.293469451,21222.5822484,9376.67206568,0.0,1.012,0.943396226415
40,0,2008,425876.0,28848.6204757,13344.3314723,81038.2964303,14609.1954695,3678.78764002,6532.41320526,3931.28245803,542.300417708,19862.0726195,9376.67206568,0.0,1.012,0.943396226415
41,0,2008,437518.0,31029.4924827,14493.1354372,82151.406491,15356.2110774,4147.02317674,7198.06900831,3566.11197594,548.795831914,19390.1178161,9746.79702793,0.0,1.012,0.943396226415
42,0,2008,437618.0,31333.3213378,15118.0496075,85914.5699493,16283.9748895,4327.54822508,7390.66919783,3360.41256451,451.216043371,18763.8998118,10116.9323715,0.0,1.012,0.943396226415
43,0,2008,442588.0,30872.9646537,14815.6795272,85333.1042331,16529.2939082,4309.41901976,7320.89600499,3805.04369015,470.797526665,18159.723736,10487.0677151,0.0,1.012,0.943396226415
44,0,2008,437094.0,30636.7625957,14328.2538478,81414.1583792,17260.3198239,4177.64758819,7298.68118142,3364.15532195,555.813165033,16770.461131,10857.1926773,0.0,1.012,0.943396226415
45,0,2008,422671.0,31009.1812229,14096.0341062,88471.0608665,17679.2650612,4191.42113571,7427.57736113,2878.25659507,912.85141686,14697.8381477,11227.3280209,0.0,1.012,0.943396226415
46,0,2008,426477.0,31693.3373934,14722.5944345,86875.8032638,17166.3429986,4308.89373766,7656.03683003,2302.6839374,1048.04365376,15399.5895233,11597.4633645,0.0,1.012,0.943396226415
47,0,2008,423587.0,32865.2984501,14703.37211,83287.5934216,18020.5848288,4489.6837513,8029.42157653,2065.9471284,1086.61612815,12652.3926349,11967.5883267,0.0,1.012,0.943396226415
48,0,2008,420731.0,33628.8351764,14287.1170444,99671.1865227,18987.3943703,4683.36874329,8431.24273157,2239.95363107,838.510353628,11107.4125161,12337.7236703,0.0,1.012,0.943396226415
49,0,2008,410772.0,33610.2518079,14372.8201471,91100.3851115,20865.1921096,4880.93989313,8881.39323039,2065.41849034,1760.63059322,8688.39040165,12707.8590138,0.0,1.012,0.943396226415
50,0,2008,411345.0,31661.3133526,14222.1023757,90704.5837948,19594.4810449,4780.37858579,8535.13602874,2627.24655855,2447.93684724,9801.61383194,13077.9839761,0.0,1.012,0.943396226415
51,0,2008,407444.0,29028.2665342,14166.2530349,86719.6205663,19563.6701112,4799.5211672,8407.06461245,2379.23918618,3531.07097623,11925.8649198,13448.1193197,0.0,1.012,0.943396226415
52,0,2008,402384.0,30162.3300857,13892.8021788,80365.8539682,19121.9122639,4851.27307561,8315.48001293,3348.49494816,3533.85581364,12418.8466625,13818.2546632,0.0,1.012,0.943396226415
53,0,2008,405914.0,29771.9700733,13177.6836924,76921.5364699,19517.4676208,5048.78844328,8593.69423196,3727.52843465,4194.68896894,12393.0098865,14188.3796255,0.0,1.012,0.943396226415
54,0,2008,398386.0,30637.1587131,12351.2523427,75305.0412228,19078.7074061,5158.10290283,8666.64993585,3844.84379214,4821.4678676,12244.1624859,14558.5149691,0.0,1.012,0.943396226415
