sex,age,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1,64,308596,304571,308522,305945,318305,311800,310742,296371,300773,289951,290411,285076,284188,286025,267304,253034,279403,296698,303907,306150,399681,418311
1,65,307530,306084,302141,306050,303612,315778,309449,308414,294176,299811,289370,289645,284050,283313,285019,266630,251428,277540,294549,301993,304311,397283
1,66,299562,304731,303313,299545,303295,300904,312909,306943,305853,293233,298599,288534,288773,282809,282402,283805,264796,249628,276010,292565,299914,302262
1,67,298001,297086,301864,300481,296739,300322,298116,309718,304129,304691,291979,297157,287379,287581,281521,281151,281521,262527,247666,273866,290365,297703
1,68,297055,295135,294349,298704,297621,293883,297475,295414,306907,302401,303430,290524,295603,286133,286418,280002,278729,279863,260966,245651,271681,288004
1,69,303060,293635,291818,291142,295146,294211,290523,293953,292171,305022,300397,301962,288835,293714,284813,284915,276758,277010,277036,258680,243391,269355
1,70,303387,299217,289889,288068,287582,291452,290558,287124,290709,289768,302860,298154,300079,286852,291716,283270,281246,274089,274969,274336,256287,241145
1,71,182581,299139,295286,286020,284402,283960,287484,286825,283445,288258,287072,300429,295607,297875,284772,289299,279785,278846,270740,272054,271420,253632
1,72,158661,180113,294513,291060,281726,280226,279997,283268,282702,280583,285347,284041,297694,292544,295570,282378,285527,276481,275423,267661,268927,268400
1,73,138459,155684,177101,289269,286265,276984,275608,275810,278845,279187,277481,282153,280769,294515,289483,292944,278935,280841,272701,271905,264321,265545
1,74,128244,136089,152881,174256,283954,281199,271912,270752,271176,274817,275377,273835,278637,277007,291310,286173,288125,273944,277233,268754,268185,260651
1,75,156086,125345,133006,149276,170632,277553,275136,266127,264939,266528,270487,271012,269869,274534,273248,287578,281317,282928,270152,272956,264719,264336
1,76,227564,151927,121989,129594,145527,166616,270875,268949,260221,259840,261459,265665,266273,265179,270348,269014,282355,275550,277458,265378,268290,260278
1,77,221046,221014,147389,118458,125979,141506,162372,263520,262188,254318,254367,255829,260135,260905,260556,265590,263223,275872,269540,272144,260157,263343
1,78,215971,214042,214387,142688,114972,122141,137222,157887,255880,255083,248068,248402,249412,253944,255643,255162,259267,256850,269663,263727,266357,254691
1,79,193916,207900,206418,206718,137446,110767,117791,132358,152722,247921,247561,241188,241832,242205,247705,249462,248629,252012,250045,263043,257350,260203
1,80,192123,185438,199183,197712,198612,131899,106472,113288,127267,146895,239501,239292,233591,234284,235276,240644,241733,240216,243341,242914,255717,250301
1,81,178768,182918,176832,189786,188653,189839,125761,101707,108406,121960,140762,230304,230260,224904,226917,227185,232371,233238,231664,235423,235027,247912
1,82,167417,168705,172976,167447,180059,178971,180387,119391,96655,103367,116415,134202,220221,219960,216487,218461,217777,222842,223238,222987,226803,226664
1,83,149405,156837,158524,162356,157964,169658,168673,170527,112694,91272,98010,110498,126881,208860,210002,207097,207045,207870,212593,213539,213670,217470
1,84,137027,138547,145738,147354,151664,147479,158410,157859,159728,105376,85687,92341,103932,118963,198107,198918,195572,195672,196841,202081,203160,203786
1,85,121622,125728,127466,134018,136166,139978,136328,146608,146125,148374,97763,79782,86194,96666,111369,186015,186739,183013,183980,185433,190880,192204
1,86,107693,110254,114417,115677,122345,124367,127977,124952,134355,133930,136531,90082,73640,79631,90004,103028,172770,172877,170595,171861,173592,178894
1,87,93362,96337,99164,102557,104598,110235,112394,115913,113169,121650,121695,124378,82031,66806,73402,82625,94663,158533,159125,157757,159393,161302
1,88,81448,82460,85307,87690,91462,92966,98068,100130,103531,100939,108887,109578,112074,73405,60906,66771,75052,85758,143667,145141,144426,146396
1,89,68572,70789,71792,74149,76960,79982,81435,86111,87912,91045,89025,96362,96971,98826,65697,54562,59717,67330,76845,129179,131079,131158
1,90,52506,58499,60925,61670,64088,66464,68897,70279,74664,75784,79133,77589,83755,83734,87455,57588,48051,52814,59181,67987,114721,117028
1,91,41044,44080,49222,51118,52392,54271,56089,58511,59636,63284,64597,67532,66159,70832,72626,75634,49962,41607,45917,51538,59239,100535
